event_key,action_ru,period,eligibility,cbrp,personal_tokens,treasury_tokens,owner_tax,db_config,source_id_pattern,notes
battle_win,Победа в трофейном бою,instant,"Игрок состоит в скваде; режим даёт трофеи; не friendly/training; не surrender/AFK; бот и человек считаются одинаково",15,3,2,"15% от personal_tokens участника владельцу; владелец не платит налог",squad_rewards.battle_win,battle:{match_id}:p1|p2,"Clan Boost умножает токены; upgrade cbrp_boost умножает CBRP"
battle_loss,Участие в трофейном бою без победы,instant,"Игрок состоит в скваде; режим даёт трофеи; не friendly/training; не surrender/AFK; бот и человек считаются одинаково",5,1,1,"15% от personal_tokens участника владельцу; владелец не платит налог",squad_rewards.battle_loss,battle:{match_id}:p1|p2,"Поражение тоже считается развитием, но меньше победы"
friendly_battle,Тренировка / friendly battle,instant,"Любой friendly/training режим",0,0,0,0,mode_config.rewards.trophies,none,"Специально не награждается"
surrender_or_afk,Сдача / AFK завершение,instant,"Матч завершён surrender/AFK сигналом",0,0,0,0,battle_result metadata,none,"Специально не награждается"
case_open_t1,Открытие кейса T1,instant,"Игрок состоит в скваде при открытии кейса",5,1,0,"15% от personal_tokens участника владельцу; владелец не платит налог",squad_rewards.case_open.tiers.1,case_open:{user_case_id},"Начисляется один раз на case id"
case_open_t2,Открытие кейса T2,instant,"Игрок состоит в скваде при открытии кейса",10,2,1,"15% от personal_tokens участника владельцу; владелец не платит налог",squad_rewards.case_open.tiers.2,case_open:{user_case_id},"Начисляется один раз на case id"
case_open_t3,Открытие кейса T3,instant,"Игрок состоит в скваде при открытии кейса",18,3,2,"15% от personal_tokens участника владельцу; владелец не платит налог",squad_rewards.case_open.tiers.3,case_open:{user_case_id},"Начисляется один раз на case id"
case_open_t4,Открытие кейса T4,instant,"Игрок состоит в скваде при открытии кейса",30,5,3,"15% от personal_tokens участника владельцу; владелец не платит налог",squad_rewards.case_open.tiers.4,case_open:{user_case_id},"Начисляется один раз на case id"
case_open_t5,Открытие кейса T5,instant,"Игрок состоит в скваде при открытии кейса",45,8,5,"15% от personal_tokens участника владельцу; владелец не платит налог",squad_rewards.case_open.tiers.5,case_open:{user_case_id},"Начисляется один раз на case id"
new_card,Новая карта из кейса,instant,"Карта из кейса новая для игрока; игрок состоит в скваде",8,1,1,"15% от personal_tokens участника владельцу; владелец не платит налог",squad_rewards.new_card,case_new_card:{user_case_id}:{card_id},"Начисляется поверх case_open"
new_epic_plus_card_bonus,Бонус за новую epic/legendary карту,instant,"Новая карта из кейса имеет rarity epic или legendary; игрок состоит в скваде",10,1,1,"15% от personal_tokens участника владельцу; владелец не платит налог",squad_rewards.new_epic_plus_card_bonus,case_new_epic_plus:{user_case_id}:{card_id},"Дополнительный бонус поверх new_card"
card_upgrade_l2_3,Апгрейд карты до уровня 2-3,instant,"Успешный апгрейд карты; игрок состоит в скваде",5,1,0,"15% от personal_tokens участника владельцу; владелец не платит налог",squad_rewards.card_upgrade.levels[2-3],card_upgrade:{user_id}:{card_id}:{new_level},"Начисляется один раз на карту и новый уровень"
card_upgrade_l4_6,Апгрейд карты до уровня 4-6,instant,"Успешный апгрейд карты; игрок состоит в скваде",12,2,1,"15% от personal_tokens участника владельцу; владелец не платит налог",squad_rewards.card_upgrade.levels[4-6],card_upgrade:{user_id}:{card_id}:{new_level},"Начисляется один раз на карту и новый уровень"
card_upgrade_l7_9,Апгрейд карты до уровня 7-9,instant,"Успешный апгрейд карты; игрок состоит в скваде",25,4,2,"15% от personal_tokens участника владельцу; владелец не платит налог",squad_rewards.card_upgrade.levels[7-9],card_upgrade:{user_id}:{card_id}:{new_level},"Начисляется один раз на карту и новый уровень"
card_upgrade_l10,Апгрейд карты до уровня 10,instant,"Успешный апгрейд карты; игрок состоит в скваде",50,8,5,"15% от personal_tokens участника владельцу; владелец не платит налог",squad_rewards.card_upgrade.levels[10],card_upgrade:{user_id}:{card_id}:{new_level},"Начисляется один раз на карту и новый уровень"
weekly_trophy_delta,Положительная недельная дельта трофеев,weekly,"Игрок состоит в скваде; snapshot создан в начале недели/при вступлении; считается только положительная дельта","floor(delta_trophies / 25)","floor(delta_trophies / 100)","floor(delta_trophies / 150)","15% от personal_tokens участника владельцу; владелец не платит налог","squad_weekly_cbrp_enabled, squad_weekly_delta_divisor, squad_weekly_personal_tokens_divisor, squad_weekly_treasury_tokens_divisor",weekly_trophy_delta:{period_key}:{clan_id}:{user_id},"Фоновый job закрывает прошлые недели; включено по умолчанию"
seasonal_reset,Сезонный сброс трофеев,seasonal,"Будущий hook на season reset; игрок состоит в скваде; переключатель включён","floor(season_delta / 50)","floor(season_delta / 200)","floor(season_delta / 300)","15% от personal_tokens участника владельцу; владелец не платит налог","squad_seasonal_cbrp_enabled, squad_seasonal_cbrp_divisor, squad_seasonal_personal_tokens_divisor, squad_seasonal_treasury_tokens_divisor",seasonal_reset:{season_id}:{clan_id}:{user_id},"Логика конфигов готова; сам season reset hook выключен до решения по сезону"
